sample_name,fq1,fq2,date,is_amplicon_data,technology,include_in_high_genome_summary
SRR18272228,results/fastp-trimmed/pe/SRR18272228.1.fastq,results/fastp-trimmed/pe/SRR18272228.2.fastq,13062024,1,illumina,1
SRR18272229,results/fastp-trimmed/pe/SRR18272229.1.fastq,results/fastp-trimmed/pe/SRR18272229.2.fastq,13062024,1,illumina,1
SRR18272230,results/fastp-trimmed/pe/SRR18272230.1.fastq,results/fastp-trimmed/pe/SRR18272230.2.fastq,13062024,1,illumina,1
SRR17951438,results/fastp-trimmed/pe/SRR17951438.1.fastq,results/fastp-trimmed/pe/SRR17951438.2.fastq,13062024,1,illumina,1
SRR17951439,results/fastp-trimmed/pe/SRR17951439.1.fastq,results/fastp-trimmed/pe/SRR17951439.2.fastq,13062024,1,illumina,1
